ID  CCSD_ene
	-118.3616761089201
293	-196.4394634118677
294	-16.02516071215872
295	-128.9699616677086
296	-23.40466701227172
297	-16.32986001449311
298	-126.6601107757394
299	-27.23711372566114
300	-152.0292753758266
301	-137.3888014473794
302	-137.1627322942203
